,Name,Comment,Time,Likes,Reply Count,score,Comment_clean
0,Adrian Cunningham,The Witcher can kiss my shiny white ass! Time to go back home to Middle Earth! Lol,2021-09-16T22:10:28Z,0,0,0.3987,The Witcher can kiss my shiny white ass! Time to go back home to Middle Earth! Lol
1,MyAcer20,i hope they dont fuck it up like ghost busters 2 XD,2021-09-16T19:13:38Z,0,0,0.8881,i hope they dont fuck it up like ghost busters 2 XD
2,William Sizer,Everybody remember to read The Silmarillion before this thing starts!,2021-09-16T03:35:52Z,0,0,0.0,Everybody remember to read The Silmarillion before this thing starts!
3,In Thor We Trust,"Hopefully, 1990&#39;s dungeon synth is used in the soundtrack.",2021-09-15T06:43:19Z,0,0,0.4019,Hopefully 1990&39;s dungeon synth is used in the soundtrack.
4,You Tube,Did this dude just say 5 SEASONS,2021-09-15T02:53:58Z,0,0,0.0,Did this dude just say 5 SEASONS
5,Hermit Rob,I think I can&#39;t believe we have to wait another year!!,2021-09-14T20:25:17Z,0,0,0.0,I think I can&39;t believe we have to wait another year!!
6,J R,Nonsense,2021-09-14T19:39:29Z,0,0,-0.4019,Nonsense
7,Colin M,"So basically, you know nothing more than we do, you just think you know everything and therefore we should listen to your worthless drivel… haha, you got me for 5 minutes before I understood you were just spouting conjecture and guesswork. 👎🏼👎🏼👎🏼👎🏼👎🏼",2021-09-13T06:07:37Z,0,0,0.0258,So basically you know nothing more than we do you just think you know everything and therefore we should listen to your worthless drivel… haha you got me for 5 minutes before I understood you were just spouting conjecture and guesswork. 👎🏼👎🏼👎🏼👎🏼👎🏼
8,Chellebelle1211,The college years. Haha,2021-09-12T22:36:35Z,0,0,0.4588,The college years. Haha
9,J W,It&#39;s actually Krennic looking for Galen Erso...,2021-09-12T20:36:21Z,0,0,0.0,It&39;s actually Krennic looking for Galen Erso...
10,mattmilladb8,The Who? The what? Why… What? These names… oof.,2021-09-12T18:51:32Z,0,0,0.0,The Who? The what? Why… What? These names… oof.
11,Dhiraj Pallin,I would have preferred if the show was about the 1st age tbh. The epic battle vs Morgoth would have been so good.,2021-09-12T10:52:16Z,0,0,0.2827,I would have preferred if the show was about the 1st age tbh. The epic battle vs Morgoth would have been so good.
12,Tyler,Middle Earth:  The Lord of Gifts<br>Middle Earth: The Folly of Men<br>I&#39;m not good with names just posted these for fun.,2021-09-11T18:25:39Z,0,0,0.2249,Middle Earth:  The Lord of GiftsbrMiddle Earth: The Folly of MenbrI&39;m not good with names just posted these for fun.
13,Poindexter Queue,"Oh, beyond all hope -- <i>only a fool&#39;s hope</i> -- this looks so promising! I hope they delve into the First Age, and maybe the Elder Days?, in flashbacks. Maybe even one very vague scene of the Ainulindalë -- the creation of the universe.<br><br>See that? Get my hopes up <i>a little bit</i> and suddenly I start wanting <b>everything.</b>",2021-09-11T05:11:23Z,0,0,0.9209,Oh beyond all hope -- ionly a fool&39;s hope/i -- this looks so promising! I hope they delve into the First Age and maybe the Elder Days? in flashbacks. Maybe even one very vague scene of the Ainulindalë -- the creation of the universe.brbrSee that? Get my hopes up ia little bit/i and suddenly I start wanting beverything./b
14,TheInquisitor,I think the figure in white is female but who knows ...,2021-09-10T04:36:56Z,0,0,0.0,I think the figure in white is female but who knows ...
